year,region,crop,cultivation_type,yield_kg_10a,production_ton
2021,전라북도,오이,노지,6021,2355
2021,전라북도,오이,시설,10235,34447
2021,전라북도,참외,노지,1477,363
2021,전라북도,참외,시설,2103,32
2021,전라북도,호박,노지,4764,8017
2021,전라북도,호박,시설,3839,2003
2021,충청남도,딸기,노지,1732,121
2021,충청남도,딸기,시설,2817,35780
2021,충청남도,수박,노지,6223,2489
2021,충청남도,수박,시설,5303,138626
2021,충청남도,오이,노지,4696,6216
2021,충청남도,오이,시설,8591,63635
2021,충청남도,참외,노지,3888,968
2021,충청남도,참외,시설,2756,663
2021,충청남도,호박,노지,2420,8948
2021,충청남도,호박,시설,3104,5250
2021,충청북도,딸기,노지,3728,28
2021,충청북도,딸기,시설,2578,4232
2021,충청북도,수박,노지,3172,4965
2021,충청북도,수박,시설,3148,56392
2021,충청북도,오이,노지,3641,6475
2021,충청북도,오이,시설,8837,15778
2021,충청북도,참외,노지,1183,60
2021,충청북도,참외,시설,2756,189
2021,충청북도,호박,노지,1024,2281
2021,충청북도,호박,시설,5839,17832
2022,강원도,딸기,노지,1151,49
2022,강원도,딸기,시설,2247,655
2022,강원도,수박,노지,2840,1187
2022,강원도,수박,시설,5515,17060
2022,강원도,오이,노지,4309,14831
2022,강원도,오이,시설,5121,19411
2022,강원도,참외,노지,1427,150
2022,강원도,참외,시설,2570,188
2022,강원도,호박,노지,2598,25818
2022,강원도,호박,시설,3580,1956
2022,경기도,딸기,노지,2066,159
2022,경기도,딸기,시설,2926,4605
2022,경기도,수박,노지,3901,4857
2022,경기도,수박,시설,2235,3794
2022,경기도,오이,노지,3302,3994
2022,경기도,오이,시설,5468,27057
2022,경기도,참외,노지,2252,1394
2022,경기도,참외,시설,2446,2006
2022,경기도,호박,노지,3517,22014
2022,경기도,호박,시설,4010,12778
2022,경상남도,딸기,노지,3800,84
2022,경상남도,딸기,시설,2599,64802
2022,경상남도,수박,노지,2949,1219
2022,경상남도,수박,시설,3811,69674
2022,경상남도,오이,노지,4123,836
2022,경상남도,오이,시설,9377,5179
2022,경상남도,참외,노지,1183,108
2022,경상남도,참외,시설,1381,669
2022,경상남도,호박,노지,2288,13699
2022,경상남도,호박,시설,6994,26468
2022,경상북도,딸기,노지,1122,145
2022,경상북도,딸기,시설,3214,14814
2022,경상북도,수박,노지,2976,28171
2022,경상북도,수박,시설,4247,22498
2022,경상북도,오이,노지,3942,2496
2022,경상북도,오이,시설,9950,47998
2022,경상북도,참외,노지,1183,85
2022,경상북도,참외,시설,4453,188216
2022,경상북도,호박,노지,2300,19764
2022,경상북도,호박,시설,3530,5562
2022,전라남도,딸기,노지,3343,116
2022,전라남도,딸기,시설,2743,17788
2022,전라남도,수박,노지,5609,8479
2022,전라남도,수박,시설,3888,15619
2022,전라남도,오이,노지,6046,1071
2022,전라남도,오이,시설,9724,18102
2022,전라남도,참외,노지,3908,904
2022,전라남도,참외,시설,5028,168
2022,전라남도,호박,노지,2710,29623
2022,전라남도,호박,시설,5974,15963
2022,전라북도,딸기,노지,3343,80
2022,전라북도,딸기,시설,3130,14408
2022,전라북도,수박,노지,3972,29583
2022,전라북도,수박,시설,4549,75235
2022,전라북도,오이,노지,6021,768
2022,전라북도,오이,시설,10241,26817
2022,전라북도,참외,노지,3908,1341
2022,전라북도,참외,시설,2103,38
2022,전라북도,호박,노지,4340,9132
2022,전라북도,호박,시설,3715,3628
2022,충청남도,딸기,노지,1625,134
2022,충청남도,딸기,시설,2822,31179
2022,충청남도,수박,노지,5748,1489
2022,충청남도,수박,시설,5347,130599
2022,충청남도,오이,노지,4694,3382
2022,충청남도,오이,시설,9684,63413
2022,충청남도,참외,노지,3908,915
2022,충청남도,참외,시설,218,12
2022,충청남도,호박,노지,2444,6674
2022,충청남도,호박,시설,3558,6399
2022,충청북도,딸기,노지,3728,74
2022,충청북도,딸기,시설,2896,5349
2022,충청북도,수박,노지,3172,3393
2022,충청북도,수박,시설,3160,55265
2022,충청북도,오이,노지,3629,2945
2022,충청북도,오이,시설,9715,20621
2022,충청북도,참외,노지,1183,71
2022,충청북도,참외,시설,218,18
2022,충청북도,호박,노지,916,1887
2022,충청북도,호박,시설,5831,28764
2023,강원도,딸기,노지,885,43
2023,강원도,딸기,시설,2069,656
2023,강원도,수박,노지,2963,513
2023,강원도,수박,시설,5512,14470
2023,강원도,오이,노지,4233,21792
2023,강원도,오이,시설,5428,21639
2023,강원도,참외,노지,1259,144
2023,강원도,참외,시설,2571,69
2023,강원도,호박,노지,2710,25915
2023,강원도,호박,시설,3445,1618
2023,경기도,딸기,노지,2073,94
2023,경기도,딸기,시설,3170,4863
2023,경기도,수박,노지,3780,5505
2023,경기도,수박,시설,2229,3894
2023,경기도,오이,노지,3409,5266
2023,경기도,오이,시설,5337,25822
2023,경기도,참외,노지,2338,1362
2023,경기도,참외,시설,2460,1764
2023,경기도,호박,노지,3450,33144
2023,경기도,호박,시설,3770,15131
2023,경상남도,딸기,노지,3800,306
2023,경상남도,딸기,시설,2634,66011
2023,경상남도,수박,노지,2949,1322
2023,경상남도,수박,시설,3776,65982
2023,경상남도,오이,노지,4135,1004
2023,경상남도,오이,시설,9250,11879
2023,경상남도,참외,노지,1259,194
2023,경상남도,참외,시설,1422,224
2023,경상남도,호박,노지,2276,16886
2023,경상남도,호박,시설,6936,31749
2023,경상북도,딸기,노지,1122,31
2023,경상북도,딸기,시설,3377,14548
2023,경상북도,수박,노지,2847,19766
2023,경상북도,수박,시설,3652,20215
2023,경상북도,오이,노지,3413,2305
2023,경상북도,오이,시설,8611,34862
2023,경상북도,참외,노지,1259,193
2023,경상북도,참외,시설,4729,199285
2023,경상북도,호박,노지,2286,32553
2023,경상북도,호박,시설,3445,6184
2023,전라남도,딸기,노지,3343,39
2023,전라남도,딸기,시설,2748,15703
2023,전라남도,수박,노지,5729,7166
2023,전라남도,수박,시설,3549,16182
2023,전라남도,오이,노지,5999,1552
2023,전라남도,오이,시설,9701,15801
2023,전라남도,참외,노지,3660,717
2023,전라남도,참외,시설,4591,173
2023,전라남도,호박,노지,2484,29732
2023,전라남도,호박,시설,6391,16318
2023,전라북도,딸기,노지,3343,3
2023,전라북도,딸기,시설,3137,14504
2023,전라북도,수박,노지,4112,23437
2023,전라북도,수박,시설,4960,83535
2023,전라북도,오이,노지,5758,376
2023,전라북도,오이,시설,11235,25602
2023,전라북도,참외,노지,3660,532
2023,전라북도,참외,시설,2104,2
2023,전라북도,호박,노지,4428,7802
2023,전라북도,호박,시설,2824,2932
2023,충청남도,딸기,노지,1659,119
2023,충청남도,딸기,시설,2983,33478
2023,충청남도,수박,노지,5748,2841
2023,충청남도,수박,시설,5093,116893
2023,충청남도,오이,노지,4720,4370
2023,충청남도,오이,시설,9380,73616
2023,충청남도,참외,노지,3660,1028
2023,충청남도,참외,시설,255,15
